,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,train_time_sec,pred_time_sec
XGBoost,0.8380691951016526,0.8240772010877467,0.8160783981281666,0.8182392823447712,0.8402508137495798,254.9657211303711,0.37122416496276855
Logistic Regression,0.830816787540126,0.8133639046377582,0.8100259490865156,0.8112590849341674,0.8324379878901711,6.545544147491455,0.002371072769165039
Linear SVM,0.8304601117584116,0.809471340774937,0.8090885790962355,0.8091915289604249,0.8306647487517633,0.7467484474182129,0.0016574859619140625
Random Forest,0.8160741885625966,0.8370603148447658,0.7811949800471912,0.763341625923437,0.7972150806095964,13.443463802337646,0.2562992572784424
Multinomial Naive Bayes,0.7706574723576269,0.73828774560715,0.7390645771167846,0.7303673021150662,0.7541167248106538,0.01253509521484375,0.0023179054260253906
ComplementNB,0.7718463916300083,0.7371371418276872,0.737828377810058,0.7234945670309756,0.7479444610109005,0.009785890579223633,0.0014510154724121094
